City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
Pune,UberAuto,COMPLETED,2021-02-08 10:45:03 +0000 UTC,2021-02-08 10:52:03 +0000 UTC,18.576578,73.77366,"44, SR NO.44/12/1, Radha Krishna Hostel, Newar K Square, near SBI Bank, Balewadi, Pune, Maharashtra 411045, India",2021-02-08 10:57:14 +0000 UTC,18.568304,73.77077,"Ahilyadevi Society, near 1BHK Superbar, Laxman Nagar, Baner, Pune, Maharashtra 411045, India",0.96,23,INR
Pune,UberAuto,CANCELED,2021-02-08 07:38:21 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,UberAuto,COMPLETED,2021-02-08 05:08:35 +0000 UTC,2021-02-08 05:15:23 +0000 UTC,18.576548,73.77354,"44, SR NO.44/12/1, Radha Krishna Hostel, Newar K Square, near SBI Bank, Balewadi, Pune, Maharashtra 411045, India",2021-02-08 05:19:07 +0000 UTC,18.567877,73.770836,"Ahilyadevi Society, near 1BHK Superbar, Laxman Nagar, Baner, Pune, Maharashtra 411045, India",0.90,23,INR
Pune,UberAuto,COMPLETED,2021-01-29 10:42:10 +0000 UTC,2021-01-29 10:49:58 +0000 UTC,18.566866,73.769714,"11, Baner Rd, near D-Mart, Laxman Nagar, Baner, Pune, Maharashtra 411045, India",2021-01-29 10:55:17 +0000 UTC,18.576777,73.77355,"2/1/36, Samarth Ln, Balewadi Gaon, Balewadi, Pune, Maharashtra 411045, India",1.12,30,INR
Pune,UberAuto,COMPLETED,2021-01-29 09:34:30 +0000 UTC,2021-01-29 09:40:10 +0000 UTC,18.57654,73.773575,"44, SR NO.44/12/1, Radha Krishna Hostel, Newar K Square, near SBI Bank, Balewadi, Pune, Maharashtra 411045, India",2021-01-29 09:44:51 +0000 UTC,18.566832,73.76947,"Laxman Nagar, Baner, Pune, Maharashtra 411045, India",1.13,33,INR
Pune,UberGo,COMPLETED,2021-01-27 13:38:30 +0000 UTC,2021-01-27 14:11:52 +0000 UTC,18.648483,73.78061,"Pandharkar Complex, panchatara Nagar, Bijali Nagar, Ganga Nagar, Akurdi, Pimpri-Chinchwad, Maharashtra 411035, India",2021-01-27 14:39:08 +0000 UTC,18.576635,73.77348,"44, SR NO.44/12/1, Radha Krishna Hostel, Newar K Square, near SBI Bank, Balewadi, Pune, Maharashtra 411045, India",7.58,171,INR
Pune,UberAuto,CANCELED,2021-01-27 13:37:34 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,18.650265,73.78055,"Wing-B, Mayur Samrudhhi, Akurdi Market, Dattawadi, Akurdi, Pimpri-Chinchwad, Maharashtra 411035, India",1970-01-01 00:00:00 +0000 UTC,18.65028703212738,73.78053081035614,"Mayur Samruddhi phase 1 akurdi 411035, Akurdi Market, Dattawadi, Akurdi, Pimpri-Chinchwad, Maharashtra 411035, India",0.00,0,INR
Pune,UberAuto,CANCELED,2021-01-21 06:41:56 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,UberAuto,COMPLETED,2021-01-21 06:17:07 +0000 UTC,2021-01-21 06:26:32 +0000 UTC,18.576557,73.77357,"44, SR NO.44/12/1, Radha Krishna Hostel, Newar K Square, near SBI Bank, Balewadi, Pune, Maharashtra 411045, India",2021-01-21 06:30:29 +0000 UTC,18.567862,73.77124,"Besides Devi Ahilya Soc, Baner Rd, Laxman Nagar, Baner, Pune, Maharashtra 411045, India",0.89,24,INR
Pune,UberGo,CANCELED,2021-01-15 13:07:56 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,18.5449,73.77452,"NH 48, Mohan Nagar Co-Op Society, Pashan, Pune, Maharashtra 411021, India",1970-01-01 00:00:00 +0000 UTC,18.57256269454956,73.76575458049774,"22/6/1/19, Laxman Nagar, Donje, Pune, Maharashtra 411045, India",0.00,20,INR
